First Name|Last Name|Age|Sex
 clara|abbott|21|m
 GARY|MURPHY|54|m
steven| minton|47|LGBT
rita| seling|40|both
ROBERT |WILSON|24|M
BRAD| LEVAR|1|f
JOSEPH|WOLF |32|m
ANTHONY|STEFFEL|68|LGBT
elizabeth|alvarez |78|F
kelly |cline|13|Girl
diana| kahill|23|M
STEVEN|HARRISON |7|m
RICHARD| MCNIELL|63|M
DARREN|WORM |60|both
joseph |torgersen|43|Male
MARGARET| BARNES|158|Female
JAMES|WHITESEL |54|F
FRANCIS|MAJOR|51|M
cecila|moore |200|MF
TAMIKA|JACOBS|13|M
melvin| chancey|34|both
david |taylor|69|m
HAZEL| RISHEL|63|m
 gregory|colvin|19|f
WILLIE|MELVIN |37|MF
joseph|buck|42|Female
KATHLEEN| LEE|25|m
 LEISA|BARTH|60|both
henry|cables |23|-
SAMATHA|STAINBACK|34|f
 lori|heenan|61|f
DAVID| TELFER|57|Female
HAROLD |COOPER|60|MF
lindsey |sanchez|177|f
agnes|steeley|62|F
dorothy| snyder|43|M
BRANDON |FAISON|35|F
BARBARA| SAWYER|111|F
 pat|viator|63|both
 FAYE|RIVERA|28|FM
 ebony|hardy|52|m
 marcia|mcnamee|46|-
ann|britton|53|M
DUSTIN|SCOTT|52|F
 annette|meeler|18|m
carrie|perdue |68|LGBT
 alice|largent|37|f
 DARRELL|FERRA|164|MF
alisa|mcknight|52|F
CAROLYN| PRYOR|54|f
 kenneth|deloye|39|both
MARC |FORKER|100|-
 TRACY|CUNNINGHAM|30|Male
 jimmie|money|118|FM
ruth|acosta|71|M
howard|hunt|21|LGBT
ESTELLE |MCCRARY|14|LGBT
 zella|pitsch|39|Man
MARK |STROUD|152|both
STEVEN |MARTINEZ|50|Male
MARY|RESS |47|LGBT
BERTHA|DANLEY|60|LGBT
wanda| ramirez|44|F
kenneth|gurule|29|M
JOHN|SKINNER |25|M
ANDREW|TRUXILLO |52|M
jason |hansing|4|F
SHELLEY| FOSTER|53|Male
SCOTT |VANHORNE|42|FM
kenneth| mata|6|Man
 MARY|PEL|19|FM
kenneth|stokes |53|Male
george| young|37|Male
margaret| jackson|39|-
margaret |smith|20|f
MELISSA |ROSS|38|F
alexis|coleman |26|M
gail |deoliveira|20|LGBT
JANICE|SANCHEZ |29|LGBT
KEVIN |FLORES|121|Female
lorrie|hardeman|68|M
 gerald|white|60|M
teresa|mariano|35|F
FANNIE| ANDRUS|162|Girl
ann|bolden|40|both
ELIDA| PIRRONE|160|f
 ISSAC|BRODEUR|40|MF
ROBERTA| NICKERSON|50|-
 arleen|dobbin|56|both
RICHARD| HOWELL|121|Female
CLARA |ELLISON|47|both
 josue|cummins|4|-
 CHERYL|BAKER|46|m
kimberly|gordon|26|f
david|scott|46|M
DAMARIS|VAIL |48|both
 jeremy|hutchinson|20|both
ANNA| GREEN|69|Female
LARRY|SARAIVA |73|m
JOHN|MCCLARTY|63|both
DEXTER |KENDIG|25|Male
 VADA|BLASH|62|-
NICHOLAS|MURRAY |20|both
 charles|christy|52|M
shawn|whalen|20|F
crystal| keenan|14|both
KIMIKO|HILL |39|FM
javier|alcala |32|M
 MICHAEL|TAYLOR|40|m
rosario| smith|64|m
ERNEST|COOPER |35|F
CHRISTINE|FARRIS |26|m
 CONNIE|WALLEY|65|F
 MEGAN|LOVELL|68|Female
FRANK|ANDREWS|60|Male
joyce|perez |59|MF
LAWRENCE| TAYLOR|51|M
edgardo|fisher|2|f
 gloria|johnson|7|LGBT
helen|kellner |60|-
rose |belanger|38|-
joe|johnson |64|-
WAYNE| MENDEZ|46|both
ALLEN|TURNER|175|both
ethel|osborn|33|-
MARY| EADY|50|LGBT
 frances|farrell|144|M
 THOMAS|RYAN|56|m
joshua| tompkins|67|Female
 ALLEN|WHITTING|65|m
DOUGLAS|ROBARE|65|LGBT
russell|turnmire |20|F
jessica| symons|15|Male
EUGENE |LAYNE|46|m
 robert|hill|68|LGBT
edith| kaan|62|Male
TIMOTHY|GORDAN|10|-
ROBERT |HIROTA|27|LGBT
JONI|MCCUNE |49|LGBT
 JAMES|DAVENPORT|35|-
 KATIE|MACKEY|34|MF
 daniel|wiant|192|F
brenda|beaty|51|Male
JO |TANNER|44|MF
RICHARD|MILLER|186|M
WHITNEY |SCOTT|66|both
IRENE |LOPEZ|58|f
JEANNE| ONEAL|25|both
THOMAS| DECLUE|21|both
thomas| jackson|8|MF
 KATHLEEN|MORENO|21|M
 eva|boyle|29|FM
 christopher|cosgrove|75|both
MARGARET |HAWKINS|50|-
 EDWARD|WILSON|51|both
anna|dacruz|61|both
MARGARET|OATMAN|51|Female
 andres|heggie|21|LGBT
billie|campbell|6|f
harold| harrison|29|both
WILLIAM |HICKS|46|-
