First Name|Last Name|Age|Sex
james| bellman|137|F
robert |holthaus|26|m
 christine|ericson|61|both
wanda|moreno|33|LGBT
dennis|fuentes |55|LGBT
DENA|MUNOZ |33|F
JAN|CONN |42|both
LORI| MCLAIN|56|Girl
MARGARET| HARRIS|36|LGBT
JUAN |SELLMAN|65|f
greg|sherman |42|f
SAL |ORTIZ|95|-
BERTHA |WOLLENBERG|25|LGBT
JANET|STEFANIAK |47|Man
 amber|roosevelt|68|Girl
otis|hickman|36|both
MARGARET|SANDERS |41|-
CHAD|LEE |48|m
CHRISTOPHER| SCHERER|54|-
JOHN|RODRIGUEZ|24|FM
JERRY |WASHINGTON|31|m
ROBERT| MORENO|19|F
BILLY|WRIGHT|21|both
dena|williams|45|Female
 ROBERT|BURT|55|Female
MELANIE |CRUZ|45|f
RUSSELL|BROWN |37|LGBT
ROGER|CZELUSNIAK |47|M
MARLENE| BROOKS|1|f
carol| john|52|F
danielle| lynch|27|Girl
joe| ramirez|35|f
stephen|fitzgerald |56|m
JOSEPH|WEATHERFORD|49|m
CAROLE|DOWNING |67|f
WILBUR|BRADLEY |60|f
CYNTHIA| BEAN|64|Girl
maria|burke|32|F
DENNIS| STEWART|18|M
 LISA|BLAYLOCK|38|M
 john|price|22|F
 LOUISE|LARSON|64|M
jackie|jones|53|MF
DOLORES |CRAWFORD|10|LGBT
 katrina|goble|61|m
benjamin|bartholf|74|FM
kirby|delcid |30|M
MARTHA |HUNTINGTON|4|both
pamela|michell|41|f
TERESA|ROBINSON |129|Female
ADAM| MCINTOSH|47|F
SUE |OWENS|56|LGBT
steve|simcox|28|both
 mary|chapman|22|Female
 abby|harris|59|M
HILDA|FREEDMAN |41|-
PAUL |COLEMAN|11|F
DORA|STANFA |22|F
STEPHEN| WARREN|51|m
christy| banks|35|LGBT
deanna|boone|9|MF
NEAL| MILLER|65|LGBT
 WILLIE|WOOD|33|LGBT
lakesha|rork |174|both
margaret |williams|30|M
robert| mickle|21|M
jerry|craddock|68|FM
carla|cavender|40|F
carolyn |willard|7|M
 daniel|johnson|20|LGBT
christian |lambert|50|-
BERTHA| WATKINS|50|f
JOYCE|MORGAN|28|LGBT
carla| corvin|62|Female
GUY|JONES|56|M
RAY|ODONOGHUE |69|MF
VIRGINIA| AVERY|61|both
MARIAN|LEE|49|LGBT
verna|gonzalez|53|FM
 manuel|kimura|53|Female
vance|wood|21|M
RACHEL| MERRITHEW|2|both
 STEPHEN|RATCLIFFE|68|-
 jon|wright|62|F
katharyn |wal|55|LGBT
ERIC|FREEMAN |67|Man
BRUCE|LAWTON|70|f
AMANDA|SCHANK |36|F
joanna| semmes|67|LGBT
 jackie|mullins|49|LGBT
ALYSA|BURGET|94|F
stanley |coffman|4|LGBT
KEN|CORTEZ |66|-
CHERYL| PEA|26|-
ELEANOR|JOHNSON |1|LGBT
 dana|schneider|62|MF
 thomas|mchaney|175|Male
IRENE|TREVINO |168|Man
linda |stewart|64|LGBT
allen|langston|57|Female
helen|rabb |26|M
whitney |kennell|64|M
 CLARENCE|KOZIOL|60|F
 calvin|campanella|68|Male
lillian|leversee|140|-
jeremy|hugo |60|both
frank|bailey|25|Male
YESSENIA| HANRAHAN|22|-
GEORGE|KING |49|Girl
 nicolas|clark|46|FM
gayle|mcguire |69|Girl
dorothy|white |11|M
james|basel |13|F
richard|guthrie|41|F
YOLANDA|MCCURDY |163|MF
raymond |lepak|35|Girl
 BETTY|BORROR|23|Male
RICHARD |SOTELO|173|f
JOYCE|HONSE|39|M
albert| abramek|55|FM
bertie |williams|2|Female
dorothy|knight|34|M
 wilfred|turner|64|-
 andrew|alfieri|68|-
kenneth|weir |42|f
SUSAN|CORMIER |12|LGBT
erik|tinajero|188|MF
mary|smith|26|f
STACY |GOETZ|57|f
PHYLLIS|SULLIVAN |31|both
stephen|davis|44|M
 JUDY|NAVOR|69|f
DOMINIC |LEBOEUF|129|Man
CORNELIA |ROSEBORO|48|F
CLARENCE |AMES|50|MF
ellen|keen|50|MF
NORMAN |WATKINS|103|LGBT
cathy|mikkelsen|30|Male
paul|mcwhirt|22|-
clinton|jessen|66|-
 MICHAEL|CULLER|61|m
 MARC|PRESTON|54|f
steve |ware|40|m
margaret| rodriguez|37|-
michael| heidel|65|both
 PETER|GAUSE|138|Girl
ann| robbins|37|m
 phyllis|raybon|37|LGBT
 CYNTHIA|TRABERT|11|m
 maryanne|orr|67|m
CHAD |NESBIT|51|MF
JARED| TAKAKI|48|LGBT
barbara| colon|84|F
 dorothy|king|69|M
 carolina|perdue|48|-
ashley|bailey |86|LGBT
dylan| to|63|f
CHARLES|BABIN|52|-
michael| moore|62|Male
FAYE|BRUMLEY |33|m
LINDA| FRIEDMAN|183|LGBT
michael|boykin |34|F
bernita| jensen|13|Female
ALAN|RYAN|67|F
CONNIE |GILL|92|Female
CHRISTINA| KELLY|27|FM
CHARLIE| JONES|5|LGBT
 IRENE|PETTAWAY|44|m
 LATOYA|RICHARDSON|26|M
ANTONY|GROSS|29|m
 jason|mcthay|46|f
 edward|grubbs|21|MF
harry| white|83|MF
SEAN| ENOCHS|22|F
GRACE|BATCHELOR|33|m
HARVEY |COLLINS|64|F
GREGORY|LAMB |71|f
 diane|coleman|46|f
anthony| berry|25|M
leticia|joseph |23|F
scott|reynolds |46|f
 joan|stansbury|18|Female
 HERBERT|MERTEN|5|Girl
KENNETH| MIDDLETON|4|-
BILLY| JOHNSON|157|-
 connie|pena|31|-
 JULIE|DOUGLAS|12|M
 agnes|smith|26|Female
eleanor |toombs|70|LGBT
JIM |BRUNNER|131|m
BRADLEY |GODDARD|33|m
james |lombardo|60|Male
julie|jackson|55|FM
 kim|woodbury|57|Male
 michael|corwin|45|F
 LOGAN|STROMME|50|both
julian| pease|49|Female
EUGENIA| MAYNARD|35|MF
dorothy| lee|55|-
 FRANK|LOPEZ|18|f
 DEBRA|BLACKABY|50|f
JAMES|ALBREKHT |13|F
CHARLIE|FEINSTEIN|30|f
bertha|yeager|26|both
crystal|hill|55|F
TIMOTHY |ALDRIDGE|106|LGBT
CAROLINE| BUTTERFIELD|4|-
ELIZABETH|SPEEGLE|39|both
JIMMIE|ROBIE |20|LGBT
RANDI|GALLEGOS |29|F
ross| janas|35|f
joseph|panchik |70|MF
JEANELLE|JONES |17|F
victor |halverson|165|f
charles| seals|19|Girl
marquerite|henderson |54|both
JOYCE|PARRISH|54|Female
nan| foreman|102|f
COURTNEY| SALINAS|5|both
CHRISTIAN |CARTER|48|Female
ROY| STEPHENS|34|LGBT
manuel|thompson|63|both
PEGGY| HENRY|56|LGBT
tammie|powell |173|M
COLETTE|STANLEY|43|-
LAURA|YOUNGER |26|m
STELLA|LOPEZ |45|m
RON |KELLY|35|Male
 LARRY|LAFOSSE|68|Female
ida|dickens |35|both
YVETTE| MOODY|63|m
elizabeth |dickey|38|M
DENNIS|ALLEN |31|F
DOROTHY|PURVIS|33|LGBT
shirley| marty|69|Man
peggy| holland|27|both
elsa |mowrey|20|f
DAVID| CHOINIERE|62|F
MICHAEL |GONZALEZ|27|-
JIMMY|PEEK |8|m
DEBRA |MILLER|7|m
CONSTANCE|MOFFITT |5|MF
JOSE|HAMILTON|25|LGBT
jeri| himes|19|FM
 FLOSSIE|CHESTER|195|both
christina| bastarache|23|F
luis |alconcel|8|Male
william|feltus|183|FM
tracy| collins|16|Man
russell|may|65|both
SUSAN|SCALES|20|Female
phillip |jacobo|157|F
tonya|thomas |35|Male
ANNA|BARLOW |23|f
 richard|storm|183|MF
BRENDA| BERTI|37|F
stacie |chennault|45|M
 jeanine|hoganson|58|LGBT
JOHN| POWELL|58|m
 dora|gallagher|19|Female
mark|sheehan |68|Male
 TONYA|COREY|36|f
 KAY|BLACHE|119|FM
RICHARD|WEATHERS |43|M
LOWELL|PRINDLE|59|both
RAUL |WELSH|30|-
daniel|siskin |52|MF
 ashley|higgins|27|F
derrick|strauss|15|-
 ROGER|SCHMIDT|186|F
ALICE |GIBEAU|66|Man
MARGARET| RUDOLPH|49|M
BONNIE| MARCHESE|57|F
ANNA|CHRISTIE |35|M
JEANNETTE|GOODEN|57|M
LACEY| CALHOUN|17|LGBT
INGEBORG| FLOWERS|32|m
KIM|DECKER|18|m
RAFAEL| ROSATO|3|Male
RODNEY|DIAZ |1|F
JOHN |FRIEDMAN|133|Female
amber| little|169|LGBT
JENNIFER|CULLISON |164|-
MICHAEL|GREEN |81|Man
EDNA|ABRON|21|LGBT
kimberly| freund|54|Male
JOHN |SANCHEZ|70|f
MELANIA|PHILLIPS |56|M
paul|biasi |49|f
 frederick|berger|54|f
JENIFER|CUSUMANO |197|LGBT
grace|vacheresse|67|M
WILLIAM|CHANDLER|49|FM
LINDA |JOHNSON|24|M
jamar| cormier|59|LGBT
derrick|neeley|57|-
 MICHELE|LEWIS|67|both
bernadette| forde|26|LGBT
DAVID| CALLAWAY|40|f
JESSIE|SILVA |66|LGBT
KATHY| PREY|64|F
STEVEN| WEBSTER|27|-
earline| thomas|68|F
JEFF|CAREY |36|Male
melissa |moseley|60|LGBT
JANET|TUCKER|29|m
kevin|dacus|33|M
michael |martin|186|F
vernon|kahler|13|F
 harold|dirks|62|f
ian| peterson|45|FM
TANYA |LARSEN|18|-
REGINALD|HOLMES|42|FM
joann|rodriguez|66|FM
allen| bergen|59|M
steven| haynes|2|M
sandy |roberts|140|f
karen|rhea|5|f
SCOTT |LITTLER|12|Female
bobby| gonzalez|24|both
 MAGGIE|SCHOENECK|150|FM
chelsea|yarbrough |156|m
FLOYD| SAVINI|21|f
 JOSE|KIDD|158|Female
TENNILLE|RANSDELL |62|Male
LOUISE|ZBINDEN|59|M
SONNY|KIRSCH |44|-
CURTIS|POWELL |35|both
 JAMES|DELOSANTOS|68|m
VIRGINIA |HADDOCK|54|Male
KATHLEEN| STANLEY|88|FM
dorothy|vessels |187|M
JIMMY|MILLIGAN |32|Female
luis|mcmahon|43|LGBT
emily|wayland|56|f
robert| webber|47|m
kevin|lindall |2|f
JEAN| OSBORNE|50|m
 MARILYN|EDWARDS|31|F
 STACEY|RAMOS|27|M
marie |baze|59|f
 MINNIE|ELDER|36|LGBT
cindy |perry|48|f
MARGARET|TAYLOR |14|both
 FRANKIE|SANDIFER|10|M
david|bryan |3|m
willie| dunn|20|f
MATTHEW|MCCROSSEN|51|MF
LORENA|COLES |107|Female
 MONICA|GRAHAM|15|m
LEONARD|GARRETT|5|FM
OLA|DERRINGER|18|MF
ANA |CARR|61|Female
NELLE|GAVER|53|m
jonnie |morgan|63|m
ROBERTO |BULLOCK|62|f
LANNY|TYREE |10|M
dave|bruce|23|LGBT
rene|ellington|19|f
WILLIAM| CLEVELAND|59|F
RAYMOND|NUNEZ|49|F
EDWIN |FOWLER|43|MF
homer|raya |23|M
 BRANDY|PELCHAT|70|-
LEWIS|WILSON|69|FM
jerome|hock |47|LGBT
douglas|jimenez |55|-
nathaniel| mccluney|146|M
DAVID|PACE |49|M
james|thresher|37|LGBT
frank |herrmann|17|F
 pauline|hinkle|19|f
MICHELLE|COLLIN|59|Man
HAROLD|PRIBBLE |6|M
CHARLES|WILLIAMS|79|f
jack|morrow |131|m
DANIEL|GARCIA |23|-
denny|gunderman |29|M
tamra|rodriguez |134|LGBT
maxine |desai|39|Male
wallace |lynch|47|F
GERALD |BURKE|124|m
glen |watson|6|LGBT
leone|harley|19|LGBT
john| bautista|135|f
KARL| PELC|187|m
